year,slot,official_status,link_type,source,source_url,notes
2024,Slot 1,official-style third-party PDF,direct_pdf,Bodhee Prep,https://bodheeprep.com/wp-content/uploads/2024/12/CAT-2024-Slot-01-Final-with-Answer-Keys.pdf,Verified direct PDF from Bodhee Prep hub
2024,Slot 2,official-style third-party PDF,direct_pdf,Bodhee Prep,https://bodheeprep.com/wp-content/uploads/2024/12/CAT-2024-Slot-02-Final-with-Answer-Keys.pdf,Verified direct PDF from Bodhee Prep hub
2024,Slot 3,official-style third-party page,landing_page,Toprankers,https://www.toprankers.com/cat-2024-question-paper/,Use landing page because slot-3 direct link was not reliably exposed in browsing
2023,Slot 1,official-style third-party PDF,direct_pdf,Bodhee Prep,https://bodheeprep.com/wp-content/uploads/2023/12/CAt-2023-Question-Paper-slot-01-answer-keys-Bodheeprep.pdf,Verified direct PDF
2023,Slot 2,official-style third-party PDF,direct_pdf,Bodhee Prep,https://bodheeprep.com/wp-content/uploads/2023/12/CAt-2023-Question-Paper-slot-02-answer-keys-Bodheeprep.pdf,Verified direct PDF
2023,Slot 3,official-style third-party PDF,direct_pdf,Bodhee Prep,https://bodheeprep.com/wp-content/uploads/2023/12/CAt-2023-Question-Paper-slot-03.pdf,Verified direct PDF
2022,Slot 1,official-style third-party PDF,direct_pdf,Bodhee Prep,https://bodheeprep.com/wp-content/uploads/2022/12/CAT-2022-Question-Paper-Slot-1-with-Answer-Keys-Bodhee-Prep.pdf,Verified direct PDF
2022,Slot 2,official-style third-party PDF,direct_pdf,Bodhee Prep,https://bodheeprep.com/wp-content/uploads/2024/12/CAT-2022-Question-Paper-slot-2-with-Answer-Keys-by-Bodhee-Prep.pdf,Verified direct PDF
2022,Slot 3,official-style third-party PDF,direct_pdf,Bodhee Prep,https://bodheeprep.com/wp-content/uploads/2024/12/CAT-2022-Question-Paper-slot-3-with-Answer-Keys-by-Bodhee-Prep.pdf,Verified direct PDF
2021,Slot 1,officially released per source,landing_page,AglaSem,https://admission.aglasem.com/cat-2021-question-paper/,Landing page includes slot 1/2/3 PDF links
2021,Slot 2,officially released per source,landing_page,AglaSem,https://admission.aglasem.com/cat-2021-question-paper/,Landing page includes slot 1/2/3 PDF links
2021,Slot 3,officially released per source,landing_page,AglaSem,https://admission.aglasem.com/cat-2021-question-paper/,Landing page includes slot 1/2/3 PDF links
2020,Slot 1,official-style third-party PDF,direct_pdf,Bodhee Prep,https://bodheeprep.com/wp-content/uploads/2020/12/CAT-2020-Question-paper-with-Solutions-Slot-1-Bodhee-Prep.pdf,Verified direct PDF
